Location,Value,Technical Description,X-Column,Y-Column,Rotation
C1,0.1UF-0603-16V,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",58.806,58.547,180
C10,0.1UF-0603-16V,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",54.503,62.465,270
C100,0.1UF-0603-16V,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",84.38,52.769,90
C101,0.01UF-0603-50V,"Ceramic, X7R, 0.01 uF, 10 %, 50 V, 0603/1608M, SMD",79.226,56.282,0
C102,470PF-1206-630V,"Ceramic, NP0/C0G, 470 pF, 5 %, 630 V, 1206/3216M, SMD",60.35,23.9,90
C103,470PF-1206-630V,"Ceramic, NP0/C0G, 470 pF, 5 %, 630 V, 1206/3216M, SMD",73.279,29.54,0
C104,0.0047UF-0603-50V,"Ceramic, X7R, 0.0047 uF, 10 %, 50 V, 0603/1608M, SMD",79.181,22.306,270
C11,0.1UF-0603-16V,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",54.444,88.082,90
C12,,"Double-Layer, 1500000 uF, 20 %, 5.5 V, P5 D19 H19.5 , THD",,,
C13,0.1UF-0603-16V,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",40.5,54.7,0
C15,0.0047UF-0603-50V,"Ceramic, X7R, 0.0047 uF, 10 %, 50 V, 0603/1608M, SMD",22.3,81.5,270
C16,0.1UF-0603-16V,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",80.95,39,0
C17,,"Aluminum, 33 uF, 20 %, 400 V, P7.5 D16.0 L20.0 mm, THD",,,
C18,0.0047UF-0603-50V,"Ceramic, X7R, 0.0047 uF, 10 %, 50 V, 0603/1608M, SMD",12.632,84.104,0
C19,0.01UF-0603-50V,"Ceramic, X7R, 0.01 uF, 10 %, 50 V, 0603/1608M, SMD",62.866,57.243,270
C2,0.022UF-0603-50V,"Ceramic, X7R, 0.022 uF, 10 %, 50 V, 0603/1608M, SMD",53.599,32.055,90
C20,0.1UF-0603-16V,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",65.385,57.664,270
C21,,"Aluminum, 2200 uF, 20 %, 16 V, P 5.0 L 20.0 D 12.5, THD",,,
C22,0.0047UF-0603-50V,"Ceramic, X7R, 0.0047 uF, 10 %, 50 V, 0603/1608M, SMD",9.65,66.25,0
C23,,"Aluminum, 1000 uF, 20 %, 35 V, P 5.0 L 20.0 D 12.5, THD",,,
C24,4.7UF-0805-25V,"Ceramic, X5R, 4.7 uF, 10 %, 25 V, 0805/2012M, SMD",90.47,58.57,0
C25,0.01UF-0603-50V,"Ceramic, X7R, 0.01 uF, 10 %, 50 V, 0603/1608M, SMD",54.635,66.074,90
C26,22UF-1210-16V,"Ceramic, X7R, 22 uF, 10 %, 16 V, 1210, SMD",87.96,37.795,0
C27,0.1UF-0603-16V,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",39.15,65.8,180
C28,22UF-1210-16V,"Ceramic, X7R, 22 uF, 10 %, 16 V, 1210, SMD",40.62,57.63,0
C29,0.22UF-0603-16V,"Ceramic, X7R, 0.22 uF, 10 %, 16 V, 0603/1608M, SMD",26.035,69.412,270
C3,0.022UF-0603-50V,"Ceramic, X7R, 0.022 uF, 10 %, 50 V, 0603/1608M, SMD",60.265,32.086,90
C30,0.1UF-0603-16V,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",74,67.65,270
C31,0.22UF-0603-16V,"Ceramic, X7R, 0.22 uF, 10 %, 16 V, 0603/1608M, SMD",29.927,59.983,180
C32,0.0047UF-0603-50V,"Ceramic, X7R, 0.0047 uF, 10 %, 50 V, 0603/1608M, SMD",9.65,76.1,0
C33,100PF-0603-50V,"Ceramic, NP0/C0G, 100 pF, 5 %, 50 V, 0603/1608M, SMD",35.306,65.5,90
C35,47PF-0603-50V,"Ceramic, NP0/C0G, 47 pF, 5 %, 50 V, 0603/1608M, SMD",34.79,56.01,270
C36,0.1UF-0603-16V,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",34.747,59.983,270
C37,TAN-10UF-16VB,"Tantal, 10 uF, 10 %, 16 V, 3528-21 (Case B), SMD",43.25,39.992,180
C38,0.1UF-0603-16V,"Ceramic, X7R, 0.1 uF, 20 %, 16 V, 0603/1608M, SMD",52.358,66.074,90
